eval_accuracy,eval_f1,eval_precision,eval_recall
0.5668282548476454,0.5272339322342111,0.5930001842375495,0.5668282548476454
0.610803324099723,0.590988105429633,0.6016524855426902,0.610803324099723
0.6298476454293629,0.6116628885290168,0.6249901177442101,0.6298476454293629
0.6232686980609419,0.6009336214869436,0.6248032240459298,0.6232686980609419
0.6114958448753463,0.5971060628656071,0.6098711758807221,0.6114958448753463
0.5941828254847645,0.5847378168929214,0.5865293461450863,0.5941828254847645
0.5903739612188366,0.5788851719987268,0.5812340429231108,0.5903739612188366
0.5789473684210527,0.5644217032238447,0.569481097366137,0.5789473684210527
0.5626731301939059,0.5557330234469094,0.554958628131429,0.5626731301939059
0.560595567867036,0.554133627346002,0.5533594095335843,0.560595567867036
