eval_accuracy,eval_f1,eval_precision,eval_recall
0.6052631578947368,0.5917409824425973,0.5920632416085955,0.6052631578947368
0.6153047091412742,0.5931816858285784,0.6180191263838171,0.6153047091412742
0.6218836565096952,0.6056597932985113,0.6114803495470498,0.6218836565096952
0.6260387811634349,0.6188527695318715,0.6202945763020395,0.6260387811634349
0.6101108033240997,0.6034679244037177,0.6037142037403364,0.6101108033240997
0.6028393351800554,0.5936255171710594,0.5957606346368418,0.6028393351800554
0.5948753462603878,0.5880653235975946,0.5874982592538543,0.5948753462603878
0.5844875346260388,0.5700319104140589,0.5790249736906907,0.5844875346260388
0.5609418282548476,0.5578516762004092,0.5608759961086994,0.5609418282548476
0.5595567867036011,0.5567079659613313,0.5575047230692014,0.5595567867036011
