eval_accuracy,eval_f1,eval_precision,eval_recall
0.5058864265927978,0.43019956974616613,0.38445256110165965,0.5058864265927978
0.5844875346260388,0.5507338507291362,0.5256232420713577,0.5844875346260388
0.6125346260387812,0.6023074450154126,0.6019835904221312,0.6125346260387812
0.6118421052631579,0.598144624445926,0.6004364201590215,0.6118421052631579
0.6180747922437673,0.6037480534632561,0.6070688905881231,0.6180747922437673
0.6180747922437673,0.6033770524093535,0.608037430137253,0.6180747922437673
0.6239612188365651,0.6076490036788185,0.6149788487379094,0.6239612188365651
0.621191135734072,0.6034436410753757,0.612765277524941,0.621191135734072
0.6198060941828255,0.602415866989521,0.6126039679355728,0.6198060941828255
0.6253462603878116,0.6087117526816905,0.6174178071391682,0.6253462603878116
