eval_accuracy,eval_f1,eval_precision,eval_recall
0.6132271468144044,0.5852603002496,0.6148178512345166,0.6132271468144044
0.6191135734072022,0.5822759928489918,0.638676191591884,0.6191135734072022
0.6291551246537396,0.6147285199699886,0.6363761738611797,0.6291551246537396
0.6371191135734072,0.6157443358001208,0.6519710904577565,0.6371191135734072
0.6281163434903048,0.614341154352666,0.6282915206544529,0.6281163434903048
0.6042243767313019,0.6039746215704479,0.6053928579501806,0.6042243767313019
0.6090720221606648,0.6016057619317736,0.6006805253509822,0.6090720221606648
0.6073407202216067,0.5935686614970802,0.5973217658216073,0.6073407202216067
0.5744459833795014,0.5732403258685087,0.573458854080455,0.5744459833795014
0.5723684210526315,0.5694178288951431,0.5679201011130786,0.5723684210526315
