eval_accuracy,eval_f1,eval_precision,eval_recall
0.4279778393351801,0.3729411625957609,0.34220906150102126,0.4279778393351801
0.5138504155124654,0.4504930015628649,0.410094388233662,0.5138504155124654
0.5325484764542936,0.46816771926937456,0.5564782823808873,0.5325484764542936
0.542590027700831,0.48459711088400376,0.6172511760357491,0.542590027700831
0.5554016620498615,0.5104596343082564,0.5788595852458327,0.5554016620498615
0.5730609418282548,0.5528564534908089,0.582726296618419,0.5730609418282548
0.5848337950138505,0.5707076796134468,0.5828010549123863,0.5848337950138505
0.5799861495844876,0.5648550665807739,0.5843841877470867,0.5799861495844876
0.5869113573407202,0.57547451228207,0.5864801708000503,0.5869113573407202
0.5865650969529086,0.575329959196705,0.585746546786161,0.5865650969529086
